kata;kata_ganti
&; dan
+; tambah
/; atau
=; sama dengan
ababil; anak ingusan
abal2; palsu
abal; palsu
ad; ada
akooh; aku
alay; norak
albm; album
ampe; sampai
anjir; waw
anyway; ngomong-ngomong
aq; aku
asap; secepatnya
ato; atau
atw; atau
aval; foto profi
baget; keras kepala
baper; bawa perasaan
bapuk; rusak
bcr; bicara
bebeb; pacar
begin; awal
bejibun; bertumpuk banyak
bener; benar
ber2; berdua
ber3; bertiga
better; lebih baik
bf; pacar
bgt; banget
bhas; bahas
bhg; bahagia
bikin; buat
binggo; banget
bingit; banget
bklan; bakalan
bkn; bukan
blg; bilang
bnr; benar
bnyk; banyak
br; baru
brb; akakan segera kembali
brjaya; berjaya
bs; bisa
bsk; besok
btw; ngomong-ngomong
cm; cuma
cmiiw; koreksi saya
cnt; cinta
congrats; selamat
crop; potong
cya; sampai jumpa lagi
d; di
da; ada
dafuk; kurang ajar
damat; tidak peduli
dempa; demi apa
dgn; dengan
dkt; dekat
dlm; dalam
dlu; dulu
dmn; dimana
dpt; dapat
dr; dari
drpd; daripada
dsna; disana
dugem; dunia gemerlap
elo; kamu
elu; kamu
emg; memang
epsd; episode
fake; palsu
fans; penggemar
faq; pertanyaan umum
fham; paham
fhm; paham
fix; pasti
ft; foto
fyi; asal tahu saja
g; tidak
ga; tidak
gaada; tidak ada
gabut; gaji buta
gada; tidak ada
gj; tidak jelas
gak; tidak
galau; bimbang
garing; hambar
gatau; tidak tahu
geje; tidak jelas
gengges; ganggu
gf; pacar
ggl; pacar
gk; tidak
gmn; bagaimana
gmpng; gampang
gogon; go internasional
gokil; gila
gpp; tidak apa-apa
grammar; tata bahasa
gt; gitu
gue; aku
gw; aku
hater; pembenci
haters; pembenci
hbd; selamat ulang tahun
hdp; hidup
hdr; hadir
hit; populer
hits; terkini
hoax; palsu
ig; instagram
indo; indonesia
indon; indonesia
ipon; iphone
jd; jadi
jdi; jadi
jdnya; jadinya
jg; juga
jgan; jangan
jgn; jangan
jl; jalan
jln; jalan
jls; jelas
jutek; galak
kamseupay; kampungan
karn; karena
krn; karena
kbr; kabar
keknya; kayaknya
keles; kali
keleus; kali
kepo; penasaran
kgk; kagak
kicep; diam
kak; kakak
kk; kakak
kl; kalau
klo; kalau
kloning; duplikat
klrg; keluarga
klu; kalau
km; kamu
kmn; kemana
kmrn; kemarin
kn; kan
knp; kenapa
kpd; kepada
kpn; kapan
krn; karena
krna; karena
ktny; katanya
kyk; seperti
kon; kamu
kzl; kesal
lebay; berlebihan
lola; berlebihan
lgs; langsung
liat; lihat
lnjut; lanjut
lo; kamu
lol; tertawa
love; cinta
lwt; lewat
maaci; terima kasih
mabok; mabuk
mager; malas gerak
maharani; mahal
maho; homoseksual
mainstream; sangat umum
males; malas
mcm; macam
mehong; mahal
meneketehe; tidak tahu
mgkn; mungkin
mimin; admin
minn; admin
mkn; makan
mksd; maksud
mlm; malam
mls;  malas
mmg; memang
modus; maksud lain
mrk; mereka
mrka; mereka
much; lebih
mure; murah
mw; mau
n; dan
ngeh; paham
ngeuh; paham
ndak; tidak
nggak; tidak
nice; bagus
nmr; nomor
nongkrong; kumpul-kumpul
ntn; nonton
nyungsep; jatuh
official; resmi
olh; oleh
or; atau
org; orang
pake; pakai
pcr; pacar
pcran; pacaran
pd; pada
pdhal; padahal
pg; pagi
php; pemberi harapan palsu
pk; pakai
plg; pulang
pls; tolong
pntg; penting
pny; punya
prcya; percaya
prnh; pernah
pst; pesat
recokin; ganggu
rempong; repot
ri; republik indonesia
schedule; jadwal
sdh; sudah
selow; santai
sgt; sangat
sgtu; segitu
sgtuny; segitunya
sjjurny; sejujurnya
skali; sekali
skrg; sekarang
slh; salah
sll; selalu
sm; sama
smg; semoga
smga; semoga
smw; semua
smwnya; semuanya
stj; setuju
stuju; setuju
sy; saya
sya; saya
syg; sayang
td; tadi
tdk; tidak
thn; tahun
tp:tapi; tapi
trs; terus
trus; terus
ttg; tentang
ttp; tetap
typo; salah tulis
u; kamu
unyu; menggemaskan
with; dengan
woles; santai
wtf; apa-apaan
x; kali
y; iya
yg:yang; yang
kpda; kepada
yg; yang
tsb; tersebut
bkn;bukan
kp;kartu pintar
udh;sudah
tlng;tolong
tp;tapi
blm;belum
bpk;bapak
kerete;kereta
tanggani;tangani
