"_id","kata","tgl_dibuat","tgl_dirubah"
"1","ada","2020-04-01 20:22:20","2020-04-01 22:13:51"
"2","adalah","2020-04-01 20:22:20",NULL
"3","adanya","2020-04-01 20:22:20",NULL
"4","adapun","2020-04-01 20:22:20",NULL
"5","agak","2020-04-01 20:22:20",NULL
"6","agaknya","2020-04-01 20:22:20",NULL
"7","agar","2020-04-01 20:22:20",NULL
"8","akan","2020-04-01 20:22:20",NULL
"9","akankah","2020-04-01 20:22:20",NULL
"10","akhir","2020-04-01 20:22:20",NULL
"11","akhiri","2020-04-01 20:22:20",NULL
"12","akhirnya","2020-04-01 20:22:20",NULL
"13","aku","2020-04-01 20:22:20",NULL
"14","akulah","2020-04-01 20:22:20",NULL
"15","amat","2020-04-01 20:22:20",NULL
"16","amatlah","2020-04-01 20:22:20",NULL
"17","anda","2020-04-01 20:22:20",NULL
"18","andalah","2020-04-01 20:22:20",NULL
"19","antar","2020-04-01 20:22:20",NULL
"20","antara","2020-04-01 20:22:20",NULL
"21","antaranya","2020-04-01 20:22:20",NULL
"22","apa","2020-04-01 20:22:20",NULL
"23","apaan","2020-04-01 20:22:20",NULL
"24","apabila","2020-04-01 20:22:20",NULL
"25","apakah","2020-04-01 20:22:20",NULL
"26","apalagi","2020-04-01 20:22:20",NULL
"27","apatah","2020-04-01 20:22:20",NULL
"28","artinya","2020-04-01 20:22:20",NULL
"29","asal","2020-04-01 20:22:20",NULL
"30","asalkan","2020-04-01 20:22:20",NULL
"31","atas","2020-04-01 20:22:20",NULL
"32","atau","2020-04-01 20:22:20",NULL
"33","ataukah","2020-04-01 20:22:20",NULL
"34","ataupun","2020-04-01 20:22:20",NULL
"35","awal","2020-04-01 20:22:20",NULL
"36","awalnya","2020-04-01 20:22:20",NULL
"37","bagai","2020-04-01 20:22:20",NULL
"38","bagaikan","2020-04-01 20:22:20",NULL
"39","bagaimana","2020-04-01 20:22:20",NULL
"40","bagaimanakah","2020-04-01 20:22:20",NULL
"41","bagaimanapun","2020-04-01 20:22:20",NULL
"42","bagi","2020-04-01 20:22:20",NULL
"43","bagian","2020-04-01 20:22:20",NULL
"44","bahkan","2020-04-01 20:22:20",NULL
"45","bahwa","2020-04-01 20:22:20",NULL
"46","bahwasanya","2020-04-01 20:22:20",NULL
"47","baik","2020-04-01 20:22:20",NULL
"48","bakal","2020-04-01 20:22:20",NULL
"49","bakalan","2020-04-01 20:22:20",NULL
"50","balik","2020-04-01 20:22:20",NULL
"51","banyak","2020-04-01 20:22:20",NULL
"52","bapak","2020-04-01 20:22:20",NULL
"53","baru","2020-04-01 20:22:20",NULL
"54","bawah","2020-04-01 20:22:20",NULL
"55","beberapa","2020-04-01 20:22:20",NULL
"56","begini","2020-04-01 20:22:20",NULL
"57","beginian","2020-04-01 20:22:20",NULL
"58","beginikah","2020-04-01 20:22:20",NULL
"59","beginilah","2020-04-01 20:22:20",NULL
"60","begitu","2020-04-01 20:22:20",NULL
"61","begitukah","2020-04-01 20:22:20",NULL
"62","begitulah","2020-04-01 20:22:20",NULL
"63","begitupun","2020-04-01 20:22:20",NULL
"64","bekerja","2020-04-01 20:22:20",NULL
"65","belakang","2020-04-01 20:22:20",NULL
"66","belakangan","2020-04-01 20:22:20",NULL
"67","belum","2020-04-01 20:22:20",NULL
"68","belumlah","2020-04-01 20:22:20",NULL
"69","benar","2020-04-01 20:22:20",NULL
"70","benarkah","2020-04-01 20:22:20",NULL
"71","benarlah","2020-04-01 20:22:20",NULL
"72","berada","2020-04-01 20:22:20",NULL
"73","berakhir","2020-04-01 20:22:20",NULL
"74","berakhirlah","2020-04-01 20:22:20",NULL
"75","berakhirnya","2020-04-01 20:22:20",NULL
"76","berapa","2020-04-01 20:22:20",NULL
"77","berapakah","2020-04-01 20:22:20",NULL
"78","berapalah","2020-04-01 20:22:20",NULL
"79","berapapun","2020-04-01 20:22:20",NULL
"80","berarti","2020-04-01 20:22:20",NULL
"81","berawal","2020-04-01 20:22:20",NULL
"82","berbagai","2020-04-01 20:22:20",NULL
"83","berdatangan","2020-04-01 20:22:20",NULL
"84","beri","2020-04-01 20:22:20",NULL
"85","berikan","2020-04-01 20:22:20",NULL
"86","berikut","2020-04-01 20:22:20",NULL
"87","berikutnya","2020-04-01 20:22:20",NULL
"88","berjumlah","2020-04-01 20:22:20",NULL
"89","berkali-kali","2020-04-01 20:22:20",NULL
"90","berkata","2020-04-01 20:22:20",NULL
"91","berkehendak","2020-04-01 20:22:20",NULL
"92","berkeinginan","2020-04-01 20:22:20",NULL
"93","berkenaan","2020-04-01 20:22:20",NULL
"94","berlainan","2020-04-01 20:22:20",NULL
"95","berlalu","2020-04-01 20:22:20",NULL
"96","berlangsung","2020-04-01 20:22:20",NULL
"97","berlebihan","2020-04-01 20:22:20",NULL
"98","bermacam","2020-04-01 20:22:20",NULL
"99","bermacam-macam","2020-04-01 20:22:20",NULL
"100","bermaksud","2020-04-01 20:22:20",NULL
"101","bermula","2020-04-01 20:22:20",NULL
"102","bersama","2020-04-01 20:22:20",NULL
"103","bersama-sama","2020-04-01 20:22:20",NULL
"104","bersiap","2020-04-01 20:22:20",NULL
"105","bersiap-siap","2020-04-01 20:22:20",NULL
"106","bertanya","2020-04-01 20:22:20",NULL
"107","bertanya-tanya","2020-04-01 20:22:20",NULL
"108","berturut","2020-04-01 20:22:20",NULL
"109","berturut-turut","2020-04-01 20:22:20",NULL
"110","bertutur","2020-04-01 20:22:20",NULL
"111","berujar","2020-04-01 20:22:20",NULL
"112","berupa","2020-04-01 20:22:20",NULL
"113","besar","2020-04-01 20:22:20",NULL
"114","betul","2020-04-01 20:22:20",NULL
"115","betulkah","2020-04-01 20:22:20",NULL
"116","biasa","2020-04-01 20:22:20",NULL
"117","biasanya","2020-04-01 20:22:20",NULL
"118","bila","2020-04-01 20:22:20",NULL
"119","bilakah","2020-04-01 20:22:20",NULL
"120","bisa","2020-04-01 20:22:20",NULL
"121","bisakah","2020-04-01 20:22:20",NULL
"122","boleh","2020-04-01 20:22:20",NULL
"123","bolehkah","2020-04-01 20:22:20",NULL
"124","bolehlah","2020-04-01 20:22:20",NULL
"125","buat","2020-04-01 20:22:20",NULL
"126","bukan","2020-04-01 20:22:20",NULL
"127","bukankah","2020-04-01 20:22:20",NULL
"128","bukanlah","2020-04-01 20:22:20",NULL
"129","bukannya","2020-04-01 20:22:20",NULL
"130","bulan","2020-04-01 20:22:20",NULL
"131","bung","2020-04-01 20:22:20",NULL
"132","cara","2020-04-01 20:22:20",NULL
"133","caranya","2020-04-01 20:22:20",NULL
"134","cukup","2020-04-01 20:22:20",NULL
"135","cukupkah","2020-04-01 20:22:20",NULL
"136","cukuplah","2020-04-01 20:22:20",NULL
"137","cuma","2020-04-01 20:22:20",NULL
"138","dahulu","2020-04-01 20:22:20",NULL
"139","dalam","2020-04-01 20:22:20",NULL
"140","dan","2020-04-01 20:22:20",NULL
"141","dapat","2020-04-01 20:22:20",NULL
"142","dari","2020-04-01 20:22:20",NULL
